plant,year,stage,seeds,year2,fate,seeds2,PS
255,2017,PX,0.820922674,2019,PX,0.827677157,0.002462768
255,2019,PX,0.827677157,2021,PX,0.846729921,0.002483031
256,2017,P,0.597587651,2019,PX,0.621632199,0.001792763
256,2019,PX,0.621632199,2021,PX,0.666150324,0.001864897
257,2017,PS,0,2019,P,0,0
257,2019,P,0,2021,P,0,0
258,2017,PS,0,2019,dead,0,0
259,2017,PS,0,2019,dead,0,0
260,2017,PS,0,2019,dead,0,0
261,2017,PS,0,2019,dead,0,0
262,2017,PS,0,2019,dead,0,0
263,2017,PS,0,2019,dead,0,0
264,2017,PS,0,2019,dead,0,0
265,2017,PS,0,2019,dead,0,0
266,2017,PS,0,2019,dead,0,0
267,2017,PS,0,2019,dead,0,0
268,2017,PS,0,2019,dead,0,0
269,2017,PS,0,2019,dead,0,0
270,2017,PS,0,2019,dead,0,0
271,2017,PS,0,2019,dead,0,0
272,2017,PS,0,2019,dead,0,0
273,2017,PS,0,2019,dead,0,0
274,2017,PS,0,2019,dead,0,0
275,2017,PS,0,2019,dead,0,0
276,2017,PS,0,2019,dead,0,0
277,2017,PS,0,2019,dead,0,0
278,2017,PS,0,2019,dead,0,0
279,2017,PS,0,2019,dead,0,0
280,2017,PS,0,2019,dead,0,0
281,2017,PS,0,2019,dead,0,0
282,2017,PS,0,2019,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
286,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
287,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
288,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
289,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
290,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
291,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
292,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
293,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
294,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
295,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
296,2019,PS,0,2021,dead,0,0
439,2017,PX,0.648644773,2019,PX,0.659199669,0.001945934
439,2019,PX,0.659199669,2021,PX,0.667876912,0.001977599
440,2017,P,0,2019,PX,0,0
440,2019,PX,0,2021,PX,0.648644773,0
441,2017,PX,0.738973739,2019,PX,0.763649744,0.002216921
441,2019,PX,0.763649744,2021,PX,0.769215931,0.002290949
442,2017,PX,0.703046213,2019,PX,0.715863705,0.002109139
442,2019,PX,0.715863705,2021,PX,0.747869863,0.002147591
443,2017,PX,0.683209659,2019,PX,0.696513759,0.002049629
443,2019,PX,0.696513759,2021,PX,0.732931397,0.002089541
444,2017,PX,0.863106308,2019,PX,0.868524522,0.002589319
444,2019,PX,0.868524522,2021,PX,0.870289726,0.002605574
445,2017,PX,0.894422605,2019,PX,0.903592309,0.002683268
445,2019,PX,0.903592309,2021,PX,0.915112412,0.002710777
446,2017,PX,0.866738973,2019,PX,0.87375965,0.002600217
446,2019,PX,0.87375965,2021,PX,0.872034723,0.002621279
447,2017,PX,0.669598999,2019,PX,0.696513759,0.002008797
447,2019,PX,0.696513759,2021,PX,0.720583315,0.002089541
448,2017,PX,0.850721995,2019,PX,0.856548908,0.002552166
448,2019,PX,0.856548908,2021,PX,0.867634299,0.002569647
449,2017,PX,0.776043677,2019,PX,0.786666447,0.002328131
449,2019,PX,0.786666447,2021,PX,0.805581766,0.002359999
450,2017,PS,0,2019,PS,0,0
450,2019,PS,0,2021,P,0,0
451,2017,PS,0,2019,PS,0,0
451,2019,PS,0,2021,PS,0,0
452,2017,P,0,2019,P,0,0
